gene	scaffold	length	FB	FLM	RPKM_FB	RPKM_FLM	log2ratio	pval	padj
GSTUMT00000002001 	scaffold_101	2228	2383	1267	14.4323656	8.92142628	-0.693899768	0.891497919	1
GSTUMT00000003001 	scaffold_101	1411	1264	1535	12.08784065	17.06688369	0.497608291	0.854755863	1
GSTUMT00000004001 	scaffold_101	3039	3609	2449	16.0245133	12.64244136	-0.34198137	0.966508846	1
GSTUMT00000005001 	scaffold_101	670	3393	3441	68.3341384	80.57173816	0.237664171	0.909252832	1
GSTUMT00000006001 	scaffold_101	1658	5162	1512	42.01091494	14.30672165	-1.55400459	0.715336895	1
GSTUMT00000007001 	scaffold_101	1383	4810	4678	46.93010893	53.06533376	0.17725233	0.922078685	1
GSTUMT00000009001 	scaffold_101	81	0	0	0	0	0	NA	NA
GSTUMT00000012001 	scaffold_101	988	3820	746	52.17171153	11.84553678	-2.138830052	0.607169558	1
GSTUMT00000013001 	scaffold_101	846	102	224	1.626891068	4.153847211	1.351791262	0.694343408	1
GSTUMT00000014001 	scaffold_101	2404	2589	3390	14.53202891	22.12269835	0.606257162	0.83163136	1
GSTUMT00000015001 	scaffold_101	1892	1177	525	8.39429054	4.353224193	-0.947164562	0.839127888	1
GSTUMT00000016001 	scaffold_101	1600	4495	1768	37.9086553	17.33545084	-1.128756762	0.800427108	1
GSTUMT00000017001 	scaffold_101	1741	1089	1013	8.440297887	9.128166162	0.113018257	0.936342409	1
GSTUMT00000018001 	scaffold_101	2286	73	447	0.430898815	3.06763836	2.828833369	0.449852486	1
GSTUMT00000019001 	scaffold_101	1423	528	238	5.006770543	2.623885743	-0.931913833	0.844186172	1
GSTUMT00000020001 	scaffold_101	427	1536	3129	48.5391321	114.9610048	1.243907186	0.703770656	1
GSTUMT00000021001 	scaffold_101	1187	14726	30595	167.4028098	404.3641093	1.272326158	0.697552739	1
GSTUMT00000025001 	scaffold_101	3458	1661	1346	6.48146693	6.106508047	-0.085959082	0.978777898	1
GSTUMT00000026001 	scaffold_101	1689	634	109	5.065102919	1.01244097	-2.321614328	0.582225763	1
GSTUMT00000027001 	scaffold_101	2370	5114	761	29.11662571	5.037431732	-2.530846067	0.540520319	1
GSTUMT00000028001 	scaffold_101	1656	1295	614	10.55208065	5.816756736	-0.859129334	0.857290289	1
GSTUMT00000029001 	scaffold_101	2628	525	540	2.695644446	3.223600851	0.257955277	0.906299512	1
GSTUMT00000030001 	scaffold_101	1501	3648	2420	32.79463513	25.29341889	-0.37468472	0.959485127	1
GSTUMT00000033001 	scaffold_102	3058	3175	1141	14.0098961	5.853572829	-1.258913415	0.774173589	1
GSTUMT00000034001 	scaffold_102	1516	2333	196	20.76558658	2.028288521	-3.355218194	0.420807304	1
GSTUMT00000035001 	scaffold_102	1640	14049	9070	115.5926527	86.76334794	-0.413887925	0.950915885	1
GSTUMT00000036001 	scaffold_102	7769	4711	3700	8.182323553	7.471528638	-0.131090374	0.988300917	1
GSTUMT00000037001 	scaffold_102	1176	6953	8078	79.7799158	107.7629297	0.433758777	0.867515936	1
GSTUMT00000038001 	scaffold_102	801	8665	10902	145.9703727	213.5239153	0.54871896	0.843338813	1
GSTUMT00000039001 	scaffold_102	93	0	0	0	0	0	NA	NA
GSTUMT00000050001 	scaffold_102	527	2761	1243	70.69430958	37.00269672	-0.933945095	0.840982447	1
GSTUMT00000052001 	scaffold_102	1979	3121	1280	21.28024582	10.14698546	-1.068389252	0.813041538	1
GSTUMT00000053001 	scaffold_102	2055	1559	749	10.23677022	5.717982927	-0.840071028	0.861052287	1
GSTUMT00000054001 	scaffold_102	2647	3295	2550	16.79693895	15.11329299	-0.152370734	0.992918872	1
GSTUMT00000056001 	scaffold_102	2653	7578	9676	38.54304455	57.21784178	0.569982329	0.83891202	1
GSTUMT00000057001 	scaffold_102	790	232	24	3.962685079	0.476603265	-3.052957738	0.487012759	1
GSTUMT00000058001 	scaffold_102	1894	1401	10413	9.981293509	86.25191704	3.11113002	0.402053183	1
GSTUMT00000060001 	scaffold_102	4119	1505	2386	4.930300316	9.08764828	0.882097628	0.77532623	1
GSTUMT00000062001 	scaffold_102	1196	661	747	7.4575976	9.798560646	0.393812675	0.877281967	1
GSTUMT00000063001 	scaffold_102	746	192	337	3.472890316	7.087024533	1.028831394	0.751512963	1
GSTUMT00000064001 	scaffold_102	2165	1965	682	12.24710158	4.941961261	-1.309110648	0.764609026	1
GSTUMT00000065001 	scaffold_102	3747	1283	2211	4.620315465	9.25716303	1.002422392	0.751297991	1
GSTUMT00000066001 	scaffold_102	1747	3928	2424	30.33941763	21.7677015	-0.478985591	0.937101698	1
GSTUMT00000067001 	scaffold_102	2302	1168	3006	6.846461802	20.4859694	1.581065367	0.640645273	1
GSTUMT00000068001 	scaffold_102	1839	1317	1105	9.663461299	9.426563807	-0.035804309	0.968096057	1
GSTUMT00000069001 	scaffold_102	812	82	164	1.362656804	3.168550853	1.216797813	0.723045994	1
GSTUMT00000070001 	scaffold_102	2236	27106	78669	163.5770233	551.9562981	1.754577723	0.60847188	1
GSTUMT00000073001 	scaffold_102	1489	1119	82038	10.1406094	864.3571507	6.413270702	0.133908215	1
GSTUMT00000074001 	scaffold_102	1764	5080	1525	38.85919481	13.56263661	-1.518549095	0.722257433	1
GSTUMT00000076001 	scaffold_102	1505	7116	295	63.80109104	3.075093879	-4.374432269	0.301454596	1
GSTUMT00000077001 	scaffold_102	1783	4553	409	34.45680246	3.598693236	-3.258884826	0.432247198	1
GSTUMT00000079001 	scaffold_102	363	5240	70	194.7840215	3.025270955	-6.008197768	0.175781325	1
GSTUMT00000080001 	scaffold_102	822	10386	307	170.4924559	5.859214815	-4.862619005	0.256307055	1
GSTUMT00000081001 	scaffold_102	2527	4703	6433	25.11298879	39.93752729	0.669289949	0.818359645	1
GSTUMT00000084001 	scaffold_102	4274	3576	2858	11.28994063	10.49060583	-0.105930168	0.982914382	1
GSTUMT00000085001 	scaffold_102	2427	2341	891	13.01548342	5.759447058	-1.176087052	0.791237972	1
GSTUMT00000086001 	scaffold_102	2646	1712	1844	8.730569753	10.93311559	0.324523583	0.89103866	1
GSTUMT00000087001 	scaffold_102	2024	542	999	3.613411683	7.743331332	1.099379839	0.733422165	1
GSTUMT00000088001 	scaffold_102	1264	2406	3233	25.68486072	40.12651968	0.643617566	0.823909725	1
GSTUMT00000089001 	scaffold_102	1055	701	134	8.965906887	1.992623287	-2.169217591	0.607386014	1
GSTUMT00000090001 	scaffold_102	1891	2832	1788	20.20832818	14.83367803	-0.446047747	0.944239344	1
GSTUMT00000091001 	scaffold_102	3571	768	1653	2.902017559	7.261993672	1.323011025	0.689373741	1
GSTUMT00000094001 	scaffold_102	3607	4142	2364	15.49503702	10.28191934	-0.591649399	0.913006896	1
GSTUMT00000095001 	scaffold_104	1682	3071	1813	24.63669749	16.91004158	-0.542901916	0.923502189	1
GSTUMT00000097001 	scaffold_104	2049	2479	4687	16.32537757	35.88606653	1.136259272	0.724382226	1
GSTUMT00000098001 	scaffold_104	1051	155	26	1.990020948	0.388099868	-2.355296005	0.600335983	1
GSTUMT00000105001 	scaffold_104	3019	3208	12322	14.33837427	64.03109875	2.158813227	0.540163377	1
GSTUMT00000106001 	scaffold_104	1773	363	915	2.762654375	8.096274444	1.550859174	0.648503346	1
GSTUMT00000107001 	scaffold_104	660	17	7	0.347563092	0.166389902	-1.058207313	0.896996525	1
GSTUMT00000108001 	scaffold_104	4152	4661	305	15.14783006	1.152432128	-3.71520136	0.373859777	1
GSTUMT00000109001 	scaffold_104	1068	12	3	0.151613774	0.044067952	-1.759711393	0.850006307	1
GSTUMT00000111001 	scaffold_104	3060	8391	3815	37.00163891	19.55896991	-0.919724012	0.843493237	1
GSTUMT00000112001 	scaffold_104	1952	5752	344	39.76195505	2.76472215	-3.845696844	0.35827594	1
GSTUMT00000113001 	scaffold_104	990	550	18	7.496458842	0.285239833	-4.711105342	0.284144809	1
GSTUMT00000117001 	scaffold_104	1328	8517	80	86.54006921	0.945071735	-6.515291556	0.147625257	1
GSTUMT00000118001 	scaffold_104	2274	578	4	3.429778267	0.027595762	-6.906590717	0.145471565	1
GSTUMT00000119001 	scaffold_104	1494	1	1	0.009031878	0.010500797	0.197142124	1	1
GSTUMT00000120001 	scaffold_104	81	0	0	0	0	0	NA	NA
GSTUMT00000121001 	scaffold_104	1887	14	8	0.100111692	0.066510613	-0.582763611	0.96389783	1
GSTUMT00000122001 	scaffold_104	2349	337	104	1.935867149	0.694581458	-1.477433622	0.738716466	1
GSTUMT00000124001 	scaffold_104	102	31	1	4.101003954	0.153805792	-4.727797525	0.494194907	1
GSTUMT00000125001 	scaffold_104	1164	920	284	10.66506516	3.827702912	-1.478100423	0.732980061	1
GSTUMT00000126001 	scaffold_104	827	736	211	12.00883757	4.002670206	-1.584821594	0.713326015	1
GSTUMT00000127001 	scaffold_104	1287	3552	192	37.24114938	2.340429398	-3.991474897	0.342655976	1
GSTUMT00000128001 	scaffold_104	930	640	247	9.285936113	4.166648526	-1.155969096	0.798020876	1
GSTUMT00000129001 	scaffold_104	1439	8	716	0.075016683	7.805937886	6.6822969	0.131775975	1
GSTUMT00000137001 	scaffold_104	1830	1181	391	8.708181533	3.351957708	-1.377102858	0.752034904	1
GSTUMT00000138001 	scaffold_105	2127	636	1515	4.034765436	11.17424028	1.469391621	0.662132879	1
GSTUMT00000139001 	scaffold_105	1353	1452	1679	14.4809644	19.46819835	0.426936173	0.869499501	1
GSTUMT00000140001 	scaffold_105	1378	3995	2273	39.11976454	25.8775455	-0.596178032	0.912057621	1
GSTUMT00000141001 	scaffold_105	1537	4960	858	43.54481753	8.757623756	-2.313758056	0.576617729	1
GSTUMT00000143001 	scaffold_105	1719	39	8	0.30613811	0.073010777	-2.053080257	0.712998381	1
GSTUMT00000144001 	scaffold_105	78	0	0	0	0	0	NA	NA
GSTUMT00000150001 	scaffold_105	1660	14	221	0.113801664	2.088608535	4.186017232	0.309014351	1
GSTUMT00000151001 	scaffold_105	1818	729	374	5.410810392	3.227383587	-0.745299288	0.881979261	1
GSTUMT00000152001 	scaffold_105	839	2	2	0.032165974	0.037397356	0.211303093	1	1
GSTUMT00000153001 	scaffold_105	608	399	204	8.855192007	5.263800863	-0.750307537	0.882563609	1
GSTUMT00000154001 	scaffold_105	264	298	197	15.23144137	11.70671814	-0.379687269	0.960546891	1
GSTUMT00000155001 	scaffold_105	594	54	243	1.226693265	6.417896239	2.386375087	0.521592922	1
GSTUMT00000156001 	scaffold_105	1422	478	5423	4.535832059	59.82915524	3.721115645	0.330792197	1
GSTUMT00000158001 	scaffold_105	1212	626	16159	6.969480052	209.1629334	4.907232279	0.222970113	1
GSTUMT00000162001 	scaffold_105	1989	19	1172	0.128898387	9.244122487	6.153237009	0.151678438	1
GSTUMT00000163001 	scaffold_105	1560	1362	438	11.78097339	4.404761265	-1.419117973	0.74342928	1
GSTUMT00000164001 	scaffold_105	5977	433	652	0.97753723	1.711343551	0.807273536	0.792391196	1
GSTUMT00000165001 	scaffold_105	672	202	56788	4.056119695	1325.745505	8.352133364	0.069262131	1
GSTUMT00000167001 	scaffold_105	2196	240	65	1.474713215	0.464359018	-1.664996312	0.707583688	1
GSTUMT00000168001 	scaffold_105	824	4063	2874	66.53471128	54.71827716	-0.282079704	0.979372448	1
GSTUMT00000169001 	scaffold_105	136	541	353	53.67685015	40.72008349	-0.398550943	0.955523537	1
GSTUMT00000171001 	scaffold_105	606	2796	1361	62.25771957	35.23370906	-0.821278605	0.864546613	1
GSTUMT00000172001 	scaffold_105	1220	715	314	7.908149614	4.037780257	-0.969602932	0.835548161	1
GSTUMT00000173001 	scaffold_105	2993	2964	4334	13.36288246	22.71721315	0.765510168	0.798686472	1
GSTUMT00000174001 	scaffold_105	11427	13696	12432	16.17298508	17.0679608	0.077700041	0.943308372	1
GSTUMT00000177001 	scaffold_103	2432	7	391	0.038838561	2.522237913	5.98496688	0.170711283	1
GSTUMT00000178001 	scaffold_103	1346	121	1444	1.213022835	16.83042164	3.793289574	0.326005701	1
GSTUMT00000180001 	scaffold_103	1483	10	19	0.090988711	0.200995027	1.134791041	0.81438036	1
GSTUMT00000182001 	scaffold_103	1866	1434	478	10.36969966	4.018732693	-1.367341756	0.753540028	1
GSTUMT00000183001 	scaffold_103	2058	108	327	0.70812031	2.492730026	1.814202963	0.60852008	1
GSTUMT00000185001 	scaffold_103	1041	0	0	0	0	0	NA	NA
GSTUMT00000192001 	scaffold_103	451	21	67	0.628306306	2.330618146	1.889497229	0.634674553	1
GSTUMT00000194001 	scaffold_103	2067	11	325	0.07180933	2.466696668	5.082897924	0.228440464	1
